"step","stage_type","added_variable","auc"
2,"confounder","Baseline",0.813927227802674
2,"confounder","Baseline",0.813939958027554
2,"confounder","Baseline",0.813909902137871
2,"confounder","Baseline",0.813808136453777
2,"confounder","Baseline",0.813899349514052
2,"confounder","Baseline",0.81392348389872
2,"confounder","Baseline",0.813894411556867
2,"confounder","Baseline",0.813912701740764
2,"confounder","Baseline",0.813886990349538
2,"confounder","Baseline",0.813951689243755
2,"confounder","Baseline",0.813895088266318
2,"confounder","Baseline",0.813915453771815
2,"confounder","Baseline",0.813899743171043
2,"confounder","Baseline",0.813888223649538
2,"confounder","Baseline",0.813847703143943
2,"confounder","Baseline",0.813937240486088
2,"confounder","Baseline",0.813936895590235
2,"confounder","Baseline",0.813915956844043
2,"confounder","Baseline",0.8138256666775
2,"confounder","Baseline",0.813917606397659
2,"confounder","Baseline",0.813926690240861
2,"confounder","Baseline",0.813919406991873
2,"confounder","Baseline",0.813936492418875
2,"confounder","Baseline",0.813917665862462
2,"confounder","Baseline",0.813958634732666
2,"confounder","Baseline",0.813871766170849
2,"confounder","Baseline",0.813854704529768
2,"confounder","Baseline",0.813925525920032
2,"confounder","Baseline",0.813871737627744
2,"confounder","Baseline",0.813890430983
2,"confounder","Baseline",0.813878860321765
2,"confounder","Baseline",0.813829619897558
2,"confounder","Baseline",0.813914829391391
2,"confounder","Baseline",0.813920823443465
2,"confounder","Baseline",0.813931483103928
2,"confounder","Baseline",0.813976426601519
2,"confounder","Baseline",0.813889215522441
2,"confounder","Baseline",0.813940627601228
2,"confounder","Baseline",0.813948850394093
2,"confounder","Baseline",0.813831689272679
2,"confounder","Baseline",0.813919112046454
2,"confounder","Baseline",0.813921868834689
2,"confounder","Baseline",0.813910885685701
2,"confounder","Baseline",0.813880184008265
2,"confounder","Baseline",0.813937926709907
2,"confounder","Baseline",0.813942550692935
2,"confounder","Baseline",0.81399647218638
2,"confounder","Baseline",0.813892015125334
2,"confounder","Baseline",0.813842171728032
2,"confounder","Baseline",0.813949954060824
2,"confounder","Baseline",0.813883669834977
2,"confounder","Baseline",0.813898042477697
2,"confounder","Baseline",0.813912762394862
2,"confounder","Baseline",0.813904125726974
2,"confounder","Baseline",0.813889104917909
2,"confounder","Baseline",0.813893181824755
2,"confounder","Baseline",0.813872653385699
2,"confounder","Baseline",0.813928742965837
2,"confounder","Baseline",0.813909307489848
2,"confounder","Baseline",0.81393374157712
2,"confounder","Baseline",0.813948446033437
2,"confounder","Baseline",0.813913654366897
2,"confounder","Baseline",0.813912520967765
2,"confounder","Baseline",0.8139434938047
2,"confounder","Baseline",0.813890088465739
2,"confounder","Baseline",0.813926338209231
2,"confounder","Baseline",0.813880955861399
2,"confounder","Baseline",0.813852685105081
2,"confounder","Baseline",0.813913805407495
2,"confounder","Baseline",0.813847264293702
2,"confounder","Baseline",0.81394457963199
2,"confounder","Baseline",0.813930961002964
2,"confounder","Baseline",0.813905411356
2,"confounder","Baseline",0.813910063882133
3,"selected","triglycerides",0.81395648567471
3,"selected","triglycerides",0.813863903734686
3,"selected","triglycerides",0.814023866431512
3,"selected","triglycerides",0.814011887841733
3,"selected","triglycerides",0.813963010152821
3,"selected","triglycerides",0.813994279124471
3,"selected","triglycerides",0.813977134232667
3,"selected","triglycerides",0.813993115992938
3,"selected","triglycerides",0.814032096360153
3,"selected","triglycerides",0.8139733641642
3,"selected","triglycerides",0.813924013135461
3,"selected","triglycerides",0.813968371499397
3,"selected","triglycerides",0.814028640265842
3,"selected","triglycerides",0.813990872980594
3,"selected","triglycerides",0.813843483521571
3,"selected","triglycerides",0.813948883694382
3,"selected","triglycerides",0.814002604196795
3,"selected","triglycerides",0.813964159012801
3,"selected","triglycerides",0.814007242451376
3,"selected","triglycerides",0.81401009914048
3,"selected","triglycerides",0.814025445816662
3,"selected","triglycerides",0.813978708860632
3,"selected","triglycerides",0.813980523726399
3,"selected","triglycerides",0.813922188755326
