"household_income18-31k","household_income31-52k","household_income52-100k","household_income>100k","highest_qualificationCSEs","highest_qualificationO-levels/GCSEs","highest_qualificationProfessional (nursing/teaching)","highest_qualificationVocational (NVQ/HND/HNC)","highest_qualificationA-levels","highest_qualificationUniversity degree","employmentRetired","employmentOther economically inactive","employmentUnemployed","employmentUnable to work","housingRenter","housingOther","household_size2 people","household_size3-5 people","household_size6+ people","diet_score","alcohol_consumptionFormer drinker","alcohol_consumptionSocial drinker","alcohol_consumptionModerate drinker","alcohol_consumptionDaily drinker","salt_addedSometimes","salt_addedUsually","salt_addedAlways","sleep_hrs","insomniaSometimes","insomniaUsually","smoking_status_refinedFormer_Recent","smoking_status_refinedFormer_Long","smoking_status_refinedCurrent","pack_yrs","passive_total_hrs","met_min_week_all","mh_sought_helpYes","work_job_satisfaction_num","neuroticism_score","breastfedYes","comparative_body_size_10About average","comparative_body_size_10Plumper","maternal_smoking_birthYes","birth_weight","no2_2010","pm2.5_2010","pm10_2010","urban_rural_3lvlTown","urban_rural_3lvlRural"
0.71,1,0.92,0.73,0.66,0.76,0.9,0.41,0.68,0.49,0.91,0.91,0.74,0.77,0.61,0.69,0.88,0.95,0.68,1,0.71,0.69,0.59,0.49,0.72,0.97,0.72,0.8,0.9,0.78,0.98,0.71,0.51,0.79,0.87,0.97,0.73,0.64,0.73,0.59,0.53,0.54,0.88,0.67,0.93,0.9,0.87,0.81,0.58
0.76,1,0.92,0.77,0.68,0.78,0.92,0.43,0.69,0.5,0.91,0.93,0.79,0.8,0.65,0.71,0.9,0.95,0.71,1,0.74,0.73,0.63,0.5,0.74,0.97,0.72,0.83,0.93,0.8,0.98,0.73,0.56,0.79,0.89,0.97,0.76,0.67,0.75,0.65,0.55,0.55,0.88,0.7,0.96,0.91,0.88,0.82,0.61
0.79,1,0.92,0.79,0.7,0.8,0.94,0.44,0.71,0.51,0.93,0.93,0.8,0.84,0.67,0.73,0.93,0.97,0.76,1,0.77,0.75,0.67,0.58,0.76,0.97,0.72,0.84,0.94,0.85,0.98,0.74,0.6,0.81,0.89,0.98,0.8,0.7,0.78,0.66,0.59,0.59,0.9,0.7,0.97,0.93,0.9,0.85,0.64
0.83,1,0.92,0.8,0.71,0.84,0.94,0.45,0.71,0.51,0.93,0.94,0.81,0.85,0.71,0.75,0.93,0.98,0.84,1,0.8,0.78,0.73,0.63,0.79,0.97,0.77,0.85,0.95,0.85,0.98,0.75,0.61,0.82,0.89,0.98,0.83,0.74,0.79,0.68,0.61,0.65,0.91,0.71,0.97,0.94,0.92,0.86,0.67
0.86,1,0.92,0.82,0.73,0.84,0.95,0.47,0.72,0.51,0.93,0.95,0.81,0.85,0.73,0.77,0.94,0.99,0.88,1,0.81,0.8,0.74,0.62,0.82,0.97,0.78,0.85,0.95,0.85,0.98,0.75,0.65,0.84,0.9,0.99,0.83,0.75,0.8,0.68,0.61,0.68,0.92,0.74,0.97,0.94,0.93,0.86,0.7
0.86,1,0.93,0.84,0.78,0.84,0.97,0.48,0.72,0.52,0.94,0.95,0.84,0.85,0.76,0.8,0.94,1,0.9,1,0.82,0.81,0.78,0.63,0.82,0.97,0.78,0.86,0.95,0.88,0.98,0.78,0.67,0.85,0.91,1,0.86,0.75,0.83,0.72,0.63,0.72,0.93,0.77,0.97,0.94,0.93,0.86,0.71
0.88,1,0.95,0.87,0.8,0.84,0.97,0.49,0.74,0.52,0.94,0.98,0.82,0.86,0.76,0.82,0.94,1,0.93,1,0.84,0.86,0.8,0.66,0.83,0.97,0.8,0.86,0.95,0.88,0.98,0.79,0.69,0.86,0.92,1,0.86,0.77,0.84,0.74,0.67,0.75,0.96,0.79,0.97,0.96,0.93,0.86,0.72
0.89,1,0.95,0.88,0.82,0.85,0.97,0.51,0.75,0.53,0.96,0.98,0.84,0.88,0.77,0.84,0.95,1,0.93,1,0.86,0.88,0.81,0.73,0.85,0.97,0.82,0.87,0.96,0.89,0.98,0.8,0.71,0.86,0.92,1,0.87,0.77,0.87,0.76,0.71,0.78,0.96,0.81,0.98,0.97,0.94,0.89,0.72
0.91,1,0.95,0.89,0.82,0.87,0.97,0.54,0.75,0.53,0.96,0.98,0.83,0.9,0.79,0.86,0.96,1,0.95,1,0.86,0.91,0.84,0.76,0.88,0.97,0.82,0.89,0.96,0.92,0.98,0.85,0.74,0.87,0.93,1,0.87,0.78,0.87,0.77,0.72,0.79,0.97,0.83,0.98,0.97,0.94,0.9,0.75
0.93,1,0.96,0.9,0.85,0.89,0.98,0.55,0.75,0.55,0.99,0.98,0.83,0.9,0.8,0.86,0.97,1,0.96,1,0.86,0.92,0.83,0.79,0.89,0.97,0.84,0.89,0.96,0.92,0.98,0.87,0.75,0.88,0.93,1,0.89,0.8,0.87,0.79,0.75,0.79,0.97,0.85,0.98,0.98,0.95,0.9,0.78
0.93,1,0.96,0.91,0.87,0.89,0.98,0.56,0.76,0.56,0.99,0.98,0.84,0.92,0.8,0.86,0.98,1,0.96,1,0.86,0.93,0.83,0.83,0.89,0.97,0.85,0.9,0.96,0.92,0.98,0.88,0.76,0.91,0.96,1,0.89,0.8,0.88,0.81,0.78,0.81,0.97,0.89,0.98,0.99,0.95,0.9,0.79
0.94,1,0.96,0.92,0.88,0.9,0.98,0.56,0.77,0.55,0.98,0.99,0.84,0.95,0.8,0.87,0.99,1,0.96,1,0.87,0.94,0.85,0.84,0.9,0.97,0.86,0.91,0.96,0.92,0.98,0.88,0.78,0.93,0.96,1,0.89,0.82,0.89,0.82,0.8,0.83,0.97,0.9,0.98,0.99,0.96,0.91,0.81
0.95,1,0.97,0.93,0.9,0.9,0.98,0.56,0.79,0.57,0.98,0.99,0.85,0.96,0.8,0.88,0.99,1,0.96,1,0.91,0.94,0.89,0.89,0.91,0.97,0.86,0.92,0.96,0.95,0.99,0.88,0.8,0.93,0.96,1,0.89,0.83,0.9,0.84,0.82,0.86,0.97,0.91,0.98,0.99,0.96,0.94,0.87
0.97,1,0.98,0.94,0.9,0.9,0.98,0.56,0.8,0.57,0.98,0.99,0.87,0.96,0.81,0.88,0.99,1,0.98,1,0.95,0.94,0.89,0.91,0.92,0.97,0.88,0.93,0.96,0.95,0.99,0.89,0.83,0.95,0.96,1,0.92,0.83,0.91,0.86,0.83,0.87,0.98,0.91,0.98,0.99,0.96,0.94,0.88
0.97,1,0.98,0.94,0.9,0.91,0.98,0.56,0.8,0.58,0.99,0.99,0.89,0.96,0.82,0.89,1,1,0.98,1,0.96,0.93,0.9,0.93,0.93,0.97,0.88,0.95,0.96,0.95,1,0.89,0.84,0.95,0.97,1,0.94,0.86,0.92,0.88,0.84,0.88,1,0.91,0.98,1,0.96,0.94,0.89
0.97,1,0.99,0.94,0.9,0.92,0.98,0.56,0.8,0.58,0.99,0.99,0.92,0.97,0.83,0.9,1,1,0.98,1,0.97,0.94,0.92,0.94,0.93,0.97,0.89,0.96,0.96,0.95,1,0.91,0.84,0.95,0.97,1,0.95,0.88,0.92,0.9,0.85,0.88,1,0.92,0.98,1,0.96,0.94,0.89
0.98,1,0.99,0.94,0.9,0.94,0.98,0.56,0.82,0.58,0.99,0.99,0.93,0.97,0.85,0.91,1,1,0.98,1,0.96,0.94,0.96,0.96,0.93,0.98,0.9,0.96,0.96,0.97,1,0.91,0.85,0.95,0.97,1,0.95,0.9,0.93,0.92,0.85,0.89,1,0.94,0.98,1,0.96,0.95,0.89
0.98,1,0.99,0.95,0.9,0.94,0.99,0.57,0.82,0.6,0.99,1,0.94,0.97,0.87,0.91,1,1,0.99,1,0.96,0.95,0.98,0.96,0.93,0.98,0.92,0.96,0.97,0.97,1,0.92,0.86,0.95,0.97,1,0.95,0.9,0.93,0.94,0.86,0.91,1,0.95,0.98,1,0.97,0.95,0.89
0.98,1,0.99,0.95,0.9,0.94,0.99,0.58,0.84,0.6,0.99,1,0.94,0.97,0.89,0.92,1,1,0.99,1,0.97,0.95,0.97,0.96,0.93,0.98,0.92,0.96,0.97,0.97,1,0.92,0.86,0.95,0.97,1,0.95,0.92,0.94,0.95,0.87,0.92,1,0.95,0.98,1,0.97,0.95,0.89
0.98,1,0.99,0.96,0.91,0.95,0.99,0.62,0.84,0.6,0.99,1,0.98,0.97,0.9,0.92,1,1,1,1,0.95,0.95,0.97,0.96,0.94,0.98,0.93,0.97,0.97,0.98,1,0.92,0.9,0.95,0.97,1,0.96,0.92,0.95,0.95,0.88,0.94,1,0.95,0.98,1,0.97,0.95,0.9
