"household_income18-31k","household_income31-52k","household_income52-100k","household_income>100k","highest_qualificationCSEs","highest_qualificationO-levels/GCSEs","highest_qualificationProfessional (nursing/teaching)","highest_qualificationVocational (NVQ/HND/HNC)","highest_qualificationA-levels","highest_qualificationUniversity degree","employmentRetired","employmentOther economically inactive","employmentUnemployed","employmentUnable to work","housingRenter","housingOther","household_size2 people","household_size3-5 people","household_size6+ people","diet_score","alcohol_consumptionFormer drinker","alcohol_consumptionSocial drinker","alcohol_consumptionModerate drinker","alcohol_consumptionDaily drinker","salt_addedSometimes","salt_addedUsually","salt_addedAlways","sleep_hrs","insomniaSometimes","insomniaUsually","smoking_status_refinedFormer_Recent","smoking_status_refinedFormer_Long","smoking_status_refinedCurrent","pack_yrs","passive_total_hrs","met_min_week_all","mh_sought_helpYes","work_job_satisfaction_num","neuroticism_score","breastfedYes","comparative_body_size_10About average","comparative_body_size_10Plumper","maternal_smoking_birthYes","birth_weight","no2_2010","pm2.5_2010","pm10_2010","urban_rural_3lvlTown","urban_rural_3lvlRural"
0.66,0.87,0.96,0.51,0.63,0.8,0.73,0.68,0.66,0.28,0.67,0.47,0.68,0.66,0.77,0.65,0.61,0.76,0.91,0.84,0.8,0.67,0.6,0.49,0.59,0.65,0.79,0.87,0.59,0.64,0.65,0.6,0.44,0.67,0.74,0.74,0.71,0.81,0.63,0.81,0.73,0.44,0.73,0.84,0.66,1,0.92,0.77,0.58
0.7,0.9,0.96,0.54,0.68,0.83,0.74,0.69,0.68,0.31,0.69,0.48,0.73,0.68,0.79,0.69,0.65,0.82,0.93,0.88,0.83,0.67,0.62,0.51,0.61,0.67,0.81,0.88,0.6,0.69,0.69,0.61,0.48,0.73,0.75,0.75,0.73,0.84,0.66,0.82,0.76,0.47,0.75,0.84,0.74,1,0.94,0.8,0.62
0.71,0.91,0.96,0.55,0.7,0.84,0.77,0.69,0.68,0.31,0.68,0.52,0.76,0.71,0.8,0.71,0.69,0.86,0.94,0.89,0.85,0.69,0.64,0.53,0.65,0.69,0.84,0.88,0.61,0.74,0.72,0.63,0.53,0.74,0.77,0.76,0.77,0.85,0.68,0.85,0.78,0.48,0.76,0.86,0.76,1,0.95,0.82,0.64
0.73,0.92,0.96,0.57,0.73,0.85,0.8,0.7,0.68,0.31,0.69,0.57,0.76,0.73,0.82,0.73,0.7,0.89,0.96,0.89,0.86,0.7,0.65,0.57,0.69,0.71,0.84,0.89,0.64,0.75,0.77,0.66,0.57,0.78,0.78,0.78,0.8,0.87,0.7,0.87,0.78,0.51,0.8,0.87,0.79,1,0.95,0.84,0.66
0.76,0.93,0.96,0.6,0.74,0.87,0.83,0.72,0.68,0.32,0.7,0.63,0.77,0.74,0.84,0.74,0.71,0.91,0.97,0.9,0.86,0.71,0.65,0.56,0.7,0.73,0.84,0.9,0.68,0.77,0.79,0.68,0.58,0.79,0.8,0.8,0.82,0.88,0.71,0.89,0.78,0.55,0.81,0.89,0.83,1,0.97,0.86,0.7
0.8,0.93,0.96,0.61,0.75,0.88,0.83,0.74,0.7,0.35,0.69,0.64,0.77,0.78,0.86,0.74,0.73,0.92,0.97,0.9,0.88,0.7,0.68,0.55,0.74,0.73,0.86,0.9,0.7,0.78,0.8,0.73,0.59,0.79,0.81,0.81,0.83,0.9,0.75,0.92,0.79,0.56,0.83,0.9,0.83,1,0.97,0.87,0.73
0.82,0.94,0.98,0.66,0.78,0.88,0.84,0.75,0.7,0.35,0.7,0.65,0.78,0.81,0.88,0.78,0.75,0.94,0.98,0.92,0.89,0.71,0.72,0.57,0.76,0.75,0.87,0.92,0.71,0.83,0.83,0.76,0.63,0.8,0.81,0.85,0.85,0.92,0.78,0.92,0.81,0.57,0.86,0.9,0.84,1,0.97,0.87,0.81
0.86,0.94,0.98,0.72,0.79,0.9,0.84,0.76,0.7,0.35,0.73,0.66,0.78,0.83,0.88,0.81,0.78,0.95,0.98,0.92,0.89,0.71,0.75,0.59,0.77,0.77,0.88,0.92,0.73,0.84,0.83,0.77,0.67,0.83,0.82,0.86,0.85,0.92,0.8,0.93,0.81,0.58,0.86,0.9,0.85,1,0.97,0.9,0.84
0.86,0.95,0.98,0.74,0.79,0.95,0.85,0.77,0.71,0.37,0.74,0.69,0.79,0.83,0.89,0.84,0.79,0.95,0.98,0.92,0.9,0.7,0.76,0.64,0.77,0.78,0.88,0.92,0.76,0.86,0.87,0.79,0.71,0.84,0.83,0.87,0.88,0.93,0.83,0.95,0.82,0.62,0.89,0.91,0.89,1,0.97,0.92,0.86
0.88,0.95,0.98,0.77,0.81,0.95,0.89,0.77,0.72,0.38,0.73,0.72,0.79,0.83,0.9,0.84,0.82,0.97,0.98,0.92,0.91,0.72,0.78,0.67,0.81,0.79,0.88,0.94,0.77,0.88,0.89,0.81,0.73,0.84,0.86,0.88,0.88,0.93,0.84,0.95,0.83,0.66,0.89,0.91,0.91,1,0.97,0.93,0.88
0.88,0.97,0.98,0.8,0.82,0.96,0.92,0.77,0.72,0.39,0.76,0.74,0.79,0.83,0.91,0.84,0.86,0.98,0.98,0.94,0.91,0.74,0.79,0.68,0.85,0.82,0.88,0.95,0.78,0.9,0.9,0.84,0.75,0.86,0.89,0.89,0.89,0.93,0.88,0.96,0.83,0.67,0.9,0.91,0.92,1,0.97,0.94,0.89
0.89,0.98,0.98,0.8,0.84,0.96,0.93,0.77,0.73,0.41,0.8,0.76,0.79,0.84,0.92,0.85,0.89,0.98,0.98,0.94,0.91,0.77,0.81,0.71,0.89,0.84,0.88,0.96,0.8,0.93,0.91,0.86,0.75,0.86,0.9,0.9,0.89,0.93,0.89,0.97,0.84,0.7,0.91,0.92,0.92,1,0.97,0.94,0.9
0.9,0.98,0.98,0.83,0.84,0.96,0.94,0.78,0.73,0.42,0.81,0.77,0.8,0.85,0.94,0.88,0.88,0.98,0.98,0.94,0.93,0.77,0.82,0.75,0.9,0.86,0.9,0.96,0.82,0.93,0.93,0.87,0.76,0.87,0.91,0.9,0.9,0.94,0.91,0.98,0.86,0.71,0.91,0.93,0.92,1,0.97,0.94,0.91
0.9,0.98,0.98,0.86,0.87,0.97,0.94,0.8,0.76,0.43,0.84,0.78,0.84,0.87,0.94,0.88,0.91,0.99,0.98,0.94,0.94,0.78,0.82,0.79,0.91,0.89,0.91,0.96,0.83,0.93,0.94,0.87,0.77,0.9,0.91,0.91,0.9,0.94,0.93,0.98,0.86,0.73,0.92,0.94,0.93,1,0.97,0.94,0.91
0.91,0.98,0.99,0.9,0.9,0.97,0.95,0.8,0.78,0.43,0.84,0.8,0.85,0.87,0.96,0.88,0.91,1,0.98,0.94,0.94,0.83,0.85,0.78,0.92,0.91,0.91,0.97,0.87,0.93,0.95,0.88,0.8,0.92,0.91,0.91,0.9,0.95,0.93,0.99,0.87,0.77,0.92,0.95,0.93,1,0.97,0.95,0.91
0.91,0.99,0.99,0.9,0.9,0.97,0.95,0.8,0.78,0.44,0.86,0.81,0.87,0.89,0.96,0.89,0.92,1,0.99,0.95,0.93,0.84,0.86,0.82,0.93,0.93,0.91,0.97,0.88,0.93,0.97,0.89,0.82,0.92,0.93,0.91,0.92,0.96,0.94,0.99,0.87,0.79,0.93,0.96,0.93,1,0.98,0.95,0.91
0.92,0.99,0.99,0.91,0.9,0.97,0.96,0.81,0.79,0.47,0.89,0.82,0.88,0.91,0.97,0.91,0.93,1,0.99,0.95,0.93,0.85,0.87,0.84,0.94,0.93,0.92,0.97,0.9,0.93,0.97,0.89,0.87,0.92,0.93,0.93,0.93,0.96,0.95,0.99,0.89,0.8,0.93,0.96,0.93,1,0.98,0.96,0.95
0.92,0.99,0.99,0.92,0.9,0.97,0.97,0.82,0.79,0.51,0.9,0.84,0.89,0.91,0.97,0.91,0.92,1,0.99,0.95,0.93,0.87,0.86,0.86,0.96,0.93,0.92,0.97,0.93,0.93,0.98,0.9,0.87,0.92,0.93,0.93,0.94,0.96,0.95,0.99,0.89,0.82,0.93,0.96,0.94,1,0.99,0.97,0.95
0.94,0.99,0.99,0.92,0.9,0.98,0.97,0.83,0.8,0.53,0.9,0.84,0.89,0.92,0.97,0.92,0.92,1,0.99,0.95,0.93,0.87,0.85,0.87,0.97,0.93,0.93,0.97,0.93,0.93,0.98,0.92,0.87,0.92,0.94,0.94,0.94,0.96,0.95,0.99,0.9,0.84,0.93,0.96,0.95,1,0.99,0.97,0.96
